# Instagram seeds — usernames only; every figure is read through Business Discovery.
#   1. Handles our own YouTube creators link from their bios and upload captions
#      (the handle a channel links most; Indian channels first). A link is a
#      claim by the creator, so the row carries the YouTube creator id it came
#      from — cross-linking is done after the Instagram read confirms a match.
#   2. Kaggle bhavyadhingra00020/top-100-social-media-influencers-2024-countrywise (India, then the rest)
#   3. HF Shikha180224/dexfluence-indian-creator-index, instagram rows
#   4. Kaggle syedjaferk/top-200-instagrammers-data-cleaned
# One username per line; `# yt:<id>` after it names the linking YouTube creator.
itzmebhaskar  # yt:yt_UCCzcQVGv_HWSurS10I9vXfA
ampuajobs  # yt:yt_UCo0Phd3ZdyWr65DHieQfFjw
sandy_khatana  # yt:yt_UCvqxF4I1Dj-mGlbcseaedCA
sahibabali  # yt:yt_UCUbWJTnuX0AIvGejJTRkTBA
brand2brand_moghalpura  # yt:yt_UCh5upTLPiRmCNHHzVHDtsPw
humbhifooodie  # yt:yt_UCYT1XqI5GuktnYWjjgLaf-A
paramvir_beniwal  # yt:yt_UCK2_PiPOB0VEZfbbaHj-z5w
nickvlogs  # yt:yt_UC4XA9DBTDZ0mF4-sqnJRtJg
baccha_mat_bolna  # yt:yt_UCQPTbtadNWcPYuoS3JqkpYw
mythpat  # yt:yt_UCx6F-rETGiz7xf_vkMmX2yQ
sonymusic_south  # yt:yt_UCn4rEMqKtwBQ6-oEwbd4PcA
joymajumder  # yt:yt_UCcFFvPl2cYh9kgqgkI6EnyQ
theroameramitt  # yt:yt_UC_cecSRU92J2m-BrgbEyfSQ
colorstv  # yt:yt_UC55IWqFLDH1Xp7iu1_xknRA
tips  # yt:yt_UCJrDMFOdv1I2k8n9oK_V21w
elvish_yadav  # yt:yt_UCbmu9wfzxKls40WkCzvqtRA
srijuu_srija  # yt:yt_UC84B6p8P7RhlBgSIOhhCzyA
topperstrick  # yt:yt_UCbvakP_c7KzClMPmwRn-l9Q
techsatire  # yt:yt_UCON_gtDQSNnWS1gwBcqgRKg
nawazsedamofficial  # yt:yt_UCqrup20AeooKGv2wQME386A
money_minded.official  # yt:yt_UCQy-GVR_sKlhVGmZS22M9dQ
financewithsharan  # yt:yt_UCwVEhEzsjLym_u1he4XWFkg
jannydholi  # yt:yt_UCHaDz5TRufdvBNnicgch2BA
theneonshoww  # yt:yt_UC3uDbJrPwK1X5jog7PT4gMw
officialgoldminestelefilms  # yt:yt_UCyoXW-Dse7fURq30EWl_CUA
amithsaid  # yt:yt_UCxOP_28tFLB7QagvGJ4Encw
abpnewstv  # yt:yt_UCRWFSbif-RFENbBrSiez1DA
woodleindia  # yt:yt_UCbI4er3wE-nSIjb3WpoL-ZQ
wowkidztv  # yt:yt_UCCyKsYaRi62axS-kasXW7wA
deepak.hai  # yt:yt_UCM4JYhQH_87CEiVOKFKAeog
rashminchamp  # yt:yt_UCrBKXGjBX58iwNYtkIYUatw
techmasterco  # yt:yt_UCglXlpWjIi95auM3umWWLdw
hyderabadmirchi  # yt:yt_UC9bQCxwVUdvPty4U5doaIoA
chayagraphy_  # yt:yt_UCfv652R_xnG_YLNjkqhBWww
sagamusic  # yt:yt_UCuFwzKrS0wE43CSkyaHBGiQ
soumyacrecipes  # yt:yt_UCPrBkqZVbih6wyoYhaN2EVA
thechennaishoppingmallofficial  # yt:yt_UCjfy7EseLrG30xh6mZJJ-JQ
revathisri_rjy  # yt:yt_UCzXjE6nlmCp4KAtnnf-GcrA
aya_n101  # yt:yt_UCIc-Br4h6s2MmHX0-vGWb7g
itznaga_raj  # yt:yt_UCMWv9WrCkZJcxzsOWeZfEkg
